"poi_id";"name";"str_hausnr";"plz_ort";"kategorie";"hauptkateg";"beschreib";"link";"bedeut_id";"bedeutung";"erstkateg";"angelegt";"geaendert";"kateg_id";"kateg_pfad";"rechts_utm";"hoch_utm";"abrufdatum"
"190605";"Kinderspielplatz und Bolzplatz Hugendiekstraße";"Hugendiekstr.";"44805 Bochum";"Spielplätze allgemein";"Freizeit Kultur Tourismus";"";"www.bochum.de/C125708500379A31/vwContentByKey/W2733FDL146BOLDDE";"3";"Örtlich";"1";"2012-03-01";"2012-03-01";"23683";"Freizeit Kultur Tourismus/Spielplätze/Spielplätze allgemein";"380024";"5709489";"2024-01-11"
"190605";"Kinderspielplatz und Bolzplatz Hugendiekstraße";"Hugendiekstr.";"44805 Bochum";"Bolzplätze";"Freizeit Kultur Tourismus";"";"www.bochum.de/C125708500379A31/vwContentByKey/W2733FDL146BOLDDE";"3";"Örtlich";"0";"2012-03-01";"2012-03-01";"181";"Freizeit Kultur Tourismus/Spielplätze/Bolzplätze";"380024";"5709489";"2024-01-11"
"190598";"Kinderspielplatz Auf der Panne";"Auf der Panne";"44805 Bochum";"Spielplätze allgemein";"Freizeit Kultur Tourismus";"am Gerther Mühlenbach";"www.bochum.de/C125708500379A31/vwContentByKey/W2733FDL146BOLDDE";"3";"Örtlich";"1";"2012-03-29";"2012-03-29";"23683";"Freizeit Kultur Tourismus/Spielplätze/Spielplätze allgemein";"380732";"5709235";"2024-01-11"
"181988";"Zeche Knirps (LWL Industriemuseum Zeche Hannover)";"Günnigfelder Str. 251";"44793 Bochum";"Spielplätze allgemein";"Freizeit Kultur Tourismus";"Das Industriemuseum bietet eine besondere Attraktion für Kinder.";"www.lwl.org/industriemuseum/standorte/zeche-hannover/besucherinfos/familien";"3";"Örtlich";"0";"2011-09-13";"2022-07-27";"23683";"Freizeit Kultur Tourismus/Spielplätze/Spielplätze allgemein";"372724";"5707522";"2024-01-11"
"175489";"Bolzplatz Sommerdellenstraße";"Sommerdellenstr.";"44866 Bochum";"Bolzplätze";"Freizeit Kultur Tourismus";"";"www.bochum.de/C125708500379A31/vwContentByKey/W2733FDL146BOLDDE";"3";"Örtlich";"1";"2011-06-17";"2018-11-14";"181";"Freizeit Kultur Tourismus/Spielplätze/Bolzplätze";"371351";"5705471";"2024-01-11"
"175404";"Kinderspielplatz Klarastraße / Maxstraße";"Klarastr.";"44793 Bochum";"Spielplätze allgemein";"Freizeit Kultur Tourismus";"Spielplatz für Kinder und Senioren";"www.bochum.de/C125708500379A31/vwContentByKey/W2733FDL146BOLDDE";"3";"Örtlich";"1";"2011-06-14";"2018-11-20";"23683";"Freizeit Kultur Tourismus/Spielplätze/Spielplätze allgemein";"375378";"5704451";"2024-01-11"
"175062";"Bolzplatz In der Hönnebecke";"In der Hönnebecke";"44869 Bochum";"Bolzplätze";"Freizeit Kultur Tourismus";"";"www.bochum.de/C125708500379A31/vwContentByKey/W2733FDL146BOLDDE";"3";"Örtlich";"1";"2011-06-06";"2016-05-11";"181";"Freizeit Kultur Tourismus/Spielplätze/Bolzplätze";"371609";"5702566";"2024-01-11"
"174622";"Kinderspielplatz und Bolzplatz Kassenberger Straße";"Kassenberger Str.";"44879 Bochum";"Spielplätze allgemein";"Freizeit Kultur Tourismus";"Kassenbergs Feld";"www.bochum.de/C125708500379A31/vwContentByKey/W2733FDL146BOLDDE";"3";"Örtlich";"1";"2012-05-10";"2022-04-25";"23683";"Freizeit Kultur Tourismus/Spielplätze/Spielplätze allgemein";"371398";"5699626";"2024-01-11"
"174622";"Kinderspielplatz und Bolzplatz Kassenberger Straße";"Kassenberger Str.";"44879 Bochum";"Bolzplätze";"Freizeit Kultur Tourismus";"Kassenbergs Feld";"www.bochum.de/C125708500379A31/vwContentByKey/W2733FDL146BOLDDE";"3";"Örtlich";"0";"2012-05-10";"2022-04-25";"181";"Freizeit Kultur Tourismus/Spielplätze/Bolzplätze";"371398";"5699626";"2024-01-11"
"174145";"Generationenspielplatz Lewackerstraße / Chursbusch";"Lewackerstr.";"44879 Bochum";"Spielplätze allgemein";"Freizeit Kultur Tourismus";"Spielplatz mit Spiel-/Trainingsgeräten für Kinder und Senioren";"www.bochum.de/C125708500379A31/vwContentByKey/W2733FDL146BOLDDE";"3";"Örtlich";"1";"2011-04-29";"2022-04-25";"23683";"Freizeit Kultur Tourismus/Spielplätze/Spielplätze allgemein";"371541";"5697764";"2024-01-11"
"28174";"Wasserspielplatz Stadtpark";"Gudrunstr.";"44791 Bochum";"Wasserspielplätze";"Freizeit Kultur Tourismus";"Wasserspielplatz im Bochumer Stadtpark";"www.bochum-fuer-kinder.de/spielplaetze_3/spielplatz-stadtpark_125.htm";"3";"Örtlich";"1";"2009-09-23";"2020-05-07";"23745";"Freizeit Kultur Tourismus/Spielplätze/Wasserspielplätze";"376760";"5706192";"2024-01-11"
"8585";"Abenteuerspielplatz + Bolzplatz Hüller Straße";"Hüller Str.";"44866 Bochum";"Abenteuerspielplätze";"Freizeit Kultur Tourismus";"Von Sportangebote und Kreativangebote. . . bis zur Tierpflege können sich hier Kinder austoben, spielen und vergnügen. Pädagogisch betreuter Abenteuerspielplatz";"www.wat-bewegen.de/abenteuerspielplatz-hueller-strasse";"3";"Örtlich";"1";"2009-06-23";"2020-05-07";"18";"Freizeit Kultur Tourismus/Spielplätze/Abenteuerspielplätze";"370470";"5705662";"2024-01-11"
"8585";"Abenteuerspielplatz + Bolzplatz Hüller Straße";"Hüller Str.";"44866 Bochum";"Bolzplätze";"Freizeit Kultur Tourismus";"Von Sportangebote und Kreativangebote. . . bis zur Tierpflege können sich hier Kinder austoben, spielen und vergnügen. Pädagogisch betreuter Abenteuerspielplatz";"www.wat-bewegen.de/abenteuerspielplatz-hueller-strasse";"3";"Örtlich";"0";"2009-06-23";"2020-05-07";"181";"Freizeit Kultur Tourismus/Spielplätze/Bolzplätze";"370470";"5705662";"2024-01-11"
