wahltermin_datum,wahl,Wahlkreis,AGS,Bez-Nr,Wahlberechtigte,Ohne Sperrvermerk,Mit Sperrvermerk,Nicht im W�hlerverzeichnis,Waehler,DavonMitWahlschein,UngueltigeErststimmen,UngueltigeZweitstimmen,GueltigeErststimmen,GueltigeZweitstimmen,CDU,CDU,SPD,SPD,GR�NE,GR�NE,FDP,FDP,DIE LINKE,DIE LINKE,PIRATEN,PIRATEN,pro NRW,pro NRW,NPD,NPD,Tierschutzpartei,Tierschutzpartei,FAMILIE,FAMILIE,BIG,BIG,Die PARTEI,Die PARTEI,�DP,�DP,FBI/Freie W�hler,FBI/Freie W�hler,AUF,AUF,FREIE W�HLER,FREIE W�HLER,Partei der Vernunft,Partei der Vernunft
13.05.2012,Landtagswahl NRW,109,5911000,2210,839,727,112,0,363,0,5,4,358,359,69,51,191,179,17,31,9,16,20,22,52,41,,6,,4,,1,,1,,1,,4,,0,,0,,0,,2,,0
13.05.2012,Landtagswahl NRW,109,5911000,2301,644,580,64,0,234,0,2,3,232,231,46,37,125,107,16,21,2,4,8,14,35,32,,2,,6,,2,,0,,4,,1,,0,,0,,1,,0,,0
13.05.2012,Landtagswahl NRW,109,5911000,2302,805,671,134,0,339,1,8,10,331,329,60,58,197,188,25,26,6,4,10,10,33,29,,4,,3,,3,,1,,1,,1,,0,,0,,1,,0,,0
13.05.2012,Landtagswahl NRW,109,5911000,2303,783,685,98,0,347,1,7,11,340,336,61,48,190,171,21,24,9,17,19,17,40,35,,12,,4,,2,,3,,1,,2,,0,,0,,0,,0,,0
13.05.2012,Landtagswahl NRW,109,5911000,2304,581,522,59,0,154,0,7,6,147,148,24,19,72,69,15,15,7,6,6,7,23,22,,4,,2,,1,,0,,1,,1,,0,,0,,1,,0,,0
13.05.2012,Landtagswahl NRW,109,5911000,2305,724,651,73,0,198,0,4,3,194,195,35,30,101,97,11,14,3,4,13,12,31,22,,5,,4,,4,,1,,0,,2,,0,,0,,0,,0,,0
13.05.2012,Landtagswahl NRW,109,5911000,2306,724,626,98,0,237,0,3,2,234,235,43,37,139,136,19,25,8,10,10,8,15,14,,2,,1,,2,,0,,0,,0,,0,,0,,0,,0,,0
13.05.2012,Landtagswahl NRW,109,5911000,2307,860,721,139,0,331,0,3,3,328,328,64,53,170,164,27,36,11,14,17,16,39,30,,2,,7,,3,,1,,1,,0,,0,,0,,0,,1,,0
13.05.2012,Landtagswahl NRW,109,5911000,2308,732,662,70,0,266,0,6,4,260,262,46,38,130,111,23,25,7,14,12,12,42,42,,6,,5,,2,,4,,3,,0,,0,,0,,0,,0,,0
13.05.2012,Landtagswahl NRW,109,5911000,2309,704,623,81,0,226,0,9,8,217,218,60,40,100,95,19,12,6,12,7,9,25,26,,7,,8,,3,,1,,3,,0,,0,,0,,2,,0,,0
13.05.2012,Landtagswahl NRW,109,5911000,2401,715,610,105,0,298,0,9,8,289,290,59,42,180,171,16,26,1,5,9,6,24,21,,13,,3,,0,,0,,2,,0,,0,,0,,0,,1,,0
13.05.2012,Landtagswahl NRW,109,5911000,2402,1522,1339,183,0,605,1,8,6,597,599,109,88,313,293,36,43,20,21,30,32,89,83,,23,,4,,4,,2,,2,,2,,1,,0,,0,,0,,1
13.05.2012,Landtagswahl NRW,109,5911000,2403,962,851,111,0,370,0,7,8,363,362,68,56,206,182,25,31,12,17,13,13,39,31,,4,,4,,7,,4,,2,,8,,0,,2,,0,,0,,1
13.05.2012,Landtagswahl NRW,109,5911000,2404,828,719,109,0,287,0,5,5,282,282,52,47,168,151,9,22,6,2,12,14,35,22,,9,,4,,4,,4,,0,,1,,0,,0,,0,,2,,0
13.05.2012,Landtagswahl NRW,109,5911000,2405,472,418,54,0,221,0,7,3,214,218,36,28,117,128,22,18,4,11,10,4,25,14,,3,,5,,1,,1,,0,,2,,0,,0,,0,,0,,3
13.05.2012,Landtagswahl NRW,109,5911000,2406,702,639,63,0,306,0,11,8,295,298,53,46,162,153,15,21,9,10,18,11,38,30,,12,,4,,7,,1,,0,,0,,0,,1,,0,,1,,1
13.05.2012,Landtagswahl NRW,109,5911000,2407,841,775,66,0,323,0,8,5,315,318,53,41,177,177,12,18,5,4,17,13,51,35,,22,,3,,2,,0,,1,,0,,0,,0,,0,,1,,1
13.05.2012,Landtagswahl NRW,109,5911000,2408,1334,1156,178,0,544,4,12,10,532,534,106,84,292,267,36,52,28,37,10,12,60,54,,14,,6,,2,,3,,1,,0,,1,,0,,0,,0,,1
13.05.2012,Landtagswahl NRW,109,5911000,2501,1065,894,171,0,480,1,9,6,471,474,87,75,244,222,34,47,21,20,21,21,64,52,,13,,9,,7,,4,,0,,0,,0,,1,,1,,2,,0
13.05.2012,Landtagswahl NRW,109,5911000,2502,682,559,123,0,279,1,6,2,273,277,63,54,152,152,22,20,6,9,10,6,20,17,,12,,0,,4,,0,,2,,0,,0,,0,,0,,1,,0
13.05.2012,Landtagswahl NRW,109,5911000,2503,728,623,105,0,277,0,4,4,273,273,42,40,168,166,13,17,2,2,16,10,32,28,,5,,1,,1,,1,,0,,1,,0,,0,,1,,0,,0
13.05.2012,Landtagswahl NRW,109,5911000,2504,927,827,100,0,287,0,8,7,279,280,61,43,157,146,10,20,9,7,18,13,24,27,,11,,5,,1,,2,,0,,2,,0,,0,,2,,0,,1
13.05.2012,Landtagswahl NRW,109,5911000,2505,674,586,88,0,344,0,12,12,332,332,78,65,188,178,16,28,10,7,14,10,26,33,,4,,4,,1,,1,,0,,0,,1,,0,,0,,0,,0
13.05.2012,Landtagswahl NRW,109,5911000,2506,897,737,160,0,536,0,4,4,532,532,145,116,245,227,58,71,25,41,11,8,48,42,,9,,4,,5,,2,,0,,5,,0,,1,,0,,0,,1
13.05.2012,Landtagswahl NRW,109,5911000,2507,734,634,100,0,310,0,7,5,303,305,77,61,162,134,22,31,7,17,5,7,30,35,,5,,4,,5,,1,,1,,3,,0,,0,,0,,0,,1
13.05.2012,Landtagswahl NRW,109,5911000,2508,1095,921,174,0,453,0,8,5,445,448,115,100,232,215,33,54,11,14,12,12,42,36,,7,,5,,3,,1,,0,,0,,0,,0,,0,,1,,0
13.05.2012,Landtagswahl NRW,109,5911000,2509,985,816,169,0,423,0,3,3,420,420,93,71,216,194,23,39,19,20,36,38,33,36,,12,,1,,3,,2,,1,,0,,0,,0,,0,,2,,1
13.05.2012,Landtagswahl NRW,109,5911000,2510,817,680,137,0,387,2,5,3,382,384,63,51,209,209,31,35,10,15,16,20,53,31,,7,,4,,5,,3,,0,,1,,0,,0,,0,,2,,1
13.05.2012,Landtagswahl NRW,109,5911000,2701,586,513,73,0,276,0,5,4,271,272,95,72,111,105,26,31,9,20,4,8,26,22,,6,,1,,4,,2,,0,,0,,0,,0,,0,,1,,0
13.05.2012,Landtagswahl NRW,109,5911000,2702,910,737,173,0,512,2,2,2,510,510,126,104,261,235,57,79,12,22,7,5,47,42,,9,,3,,6,,2,,0,,1,,0,,2,,0,,0,,0
13.05.2012,Landtagswahl NRW,109,5911000,2703,821,678,143,0,386,1,9,1,377,385,78,61,201,189,28,43,14,25,11,7,45,37,,4,,5,,7,,6,,0,,1,,0,,0,,0,,0,,0
13.05.2012,Landtagswahl NRW,109,5911000,2704,1297,1121,176,0,637,0,8,6,629,631,120,90,364,350,42,56,16,26,22,21,65,57,,10,,8,,2,,6,,0,,3,,0,,2,,0,,0,,0
13.05.2012,Landtagswahl NRW,109,5911000,2705,1165,1039,126,0,545,0,8,14,537,531,136,103,286,277,35,43,14,20,19,18,47,40,,14,,6,,1,,4,,2,,1,,0,,0,,0,,2,,0
13.05.2012,Landtagswahl NRW,109,5911000,2706,1181,1025,156,0,412,2,7,10,405,402,112,92,190,177,37,42,26,34,19,17,21,26,,5,,3,,1,,2,,0,,2,,0,,0,,0,,0,,1
13.05.2012,Landtagswahl NRW,109,5911000,2707,819,632,187,0,412,0,5,4,407,408,123,107,183,177,44,49,23,29,13,12,21,17,,5,,2,,3,,2,,0,,1,,0,,2,,0,,2,,0
13.05.2012,Landtagswahl NRW,109,5911000,2708,1012,812,200,0,481,1,7,6,474,475,111,81,251,233,49,57,27,46,7,8,29,27,,7,,2,,4,,2,,0,,4,,0,,0,,1,,3,,0
13.05.2012,Landtagswahl NRW,109,5911000,9121,0,0,0,0,570,570,9,7,561,563,174,140,220,203,82,90,29,48,26,25,30,34,,9,,6,,2,,0,,1,,1,,1,,1,,1,,0,,1
13.05.2012,Landtagswahl NRW,109,5911000,9122,0,0,0,0,385,385,5,2,380,383,114,99,166,178,44,40,9,11,16,17,31,26,,4,,5,,0,,1,,0,,1,,1,,0,,0,,0,,0
13.05.2012,Landtagswahl NRW,109,5911000,9123,0,0,0,0,468,468,8,8,460,460,75,62,211,209,76,82,15,17,19,20,64,49,,6,,4,,5,,1,,0,,1,,2,,0,,0,,1,,1
13.05.2012,Landtagswahl NRW,109,5911000,9151,0,0,0,0,508,508,7,4,501,504,125,103,233,222,54,64,10,22,30,25,49,46,,6,,8,,2,,2,,2,,2,,0,,0,,0,,0,,0
13.05.2012,Landtagswahl NRW,109,5911000,9152,0,0,0,0,641,641,14,4,627,637,151,127,314,321,66,54,17,30,22,23,57,49,,12,,3,,10,,1,,0,,1,,0,,1,,3,,2,,0
13.05.2012,Landtagswahl NRW,109,5911000,9161,0,0,0,0,544,544,7,5,537,539,111,86,290,313,65,47,15,21,13,11,43,39,,10,,1,,6,,2,,0,,0,,1,,0,,1,,1,,0
13.05.2012,Landtagswahl NRW,109,5911000,9162,0,0,0,0,507,507,9,8,498,499,122,112,265,253,38,45,10,11,16,15,47,31,,3,,6,,6,,4,,6,,2,,0,,2,,0,,2,,1
13.05.2012,Landtagswahl NRW,109,5911000,9181,0,0,0,0,672,672,10,6,662,666,149,124,337,352,73,60,18,23,23,23,62,51,,7,,7,,10,,2,,1,,1,,1,,1,,3,,0,,0
13.05.2012,Landtagswahl NRW,109,5911000,9182,0,0,0,0,520,520,4,3,516,517,111,90,257,264,56,55,9,14,33,27,50,38,,10,,4,,11,,2,,0,,0,,0,,0,,0,,2,,0
13.05.2012,Landtagswahl NRW,109,5911000,9211,0,0,0,0,382,382,5,2,377,380,97,85,176,183,36,25,16,23,10,11,42,31,,5,,4,,6,,1,,1,,2,,0,,0,,2,,1,,0
13.05.2012,Landtagswahl NRW,109,5911000,9212,0,0,0,0,526,526,9,5,517,521,151,132,264,268,20,29,22,28,12,10,48,38,,5,,0,,4,,4,,1,,1,,0,,0,,0,,1,,0
13.05.2012,Landtagswahl NRW,109,5911000,9221,0,0,0,0,673,673,11,10,662,663,164,153,340,331,55,53,21,29,21,13,61,49,,9,,5,,13,,3,,0,,0,,0,,2,,2,,0,,1
13.05.2012,Landtagswahl NRW,109,5911000,9222,0,0,0,0,620,620,2,2,618,618,198,169,304,304,41,45,16,29,14,10,45,43,,5,,2,,6,,1,,0,,1,,0,,0,,0,,3,,0
13.05.2012,Landtagswahl NRW,109,5911000,9231,0,0,0,0,403,403,2,3,401,400,99,84,204,209,29,22,8,16,23,20,38,27,,4,,6,,9,,0,,1,,1,,0,,1,,0,,0,,0
13.05.2012,Landtagswahl NRW,109,5911000,9232,0,0,0,0,368,368,8,6,360,362,107,95,175,180,24,21,10,14,17,11,27,24,,6,,5,,2,,2,,0,,1,,0,,1,,0,,0,,0
13.05.2012,Landtagswahl NRW,109,5911000,9241,0,0,0,0,475,475,3,2,472,473,133,110,216,216,35,40,11,19,27,24,50,37,,10,,2,,9,,1,,0,,1,,1,,0,,1,,0,,2
13.05.2012,Landtagswahl NRW,109,5911000,9242,0,0,0,0,335,335,3,5,332,330,87,81,186,176,17,23,15,12,5,9,22,18,,5,,1,,2,,2,,0,,0,,1,,0,,0,,0,,0
13.05.2012,Landtagswahl NRW,109,5911000,9251,0,0,0,0,628,628,1,3,627,625,125,105,403,394,27,34,15,26,14,11,43,41,,3,,3,,5,,2,,0,,0,,0,,0,,0,,1,,0
13.05.2012,Landtagswahl NRW,109,5911000,9252,0,0,0,0,624,624,2,6,622,618,183,151,299,293,45,44,13,30,15,13,67,59,,12,,4,,6,,4,,0,,1,,0,,0,,0,,1,,0
13.05.2012,Landtagswahl NRW,109,5911000,9271,0,0,0,0,576,576,6,4,570,572,166,141,270,263,64,75,18,33,15,10,37,38,,5,,1,,4,,2,,0,,0,,0,,0,,0,,0,,0
13.05.2012,Landtagswahl NRW,109,5911000,9272,0,0,0,0,581,581,8,6,573,575,193,167,260,273,35,35,24,27,18,17,43,39,,5,,3,,5,,2,,0,,1,,0,,0,,0,,1,,0
