wahltermin_datum,wahl,Wahlkreis,AGS,Bez-Nr,Wahlberechtigte,Ohne Sperrvermerk,Mit Sperrvermerk,Nicht im W�hlerverzeichnis,Waehler,DavonMitWahlschein,UngueltigeErststimmen,UngueltigeZweitstimmen,GueltigeErststimmen,GueltigeZweitstimmen,CDU,CDU,SPD,SPD,GR�NE,GR�NE,FDP,FDP,DIE LINKE,DIE LINKE,PIRATEN,PIRATEN,pro NRW,pro NRW,NPD,NPD,Tierschutzpartei,Tierschutzpartei,FAMILIE,FAMILIE,BIG,BIG,Die PARTEI,Die PARTEI,�DP,�DP,FBI/Freie W�hler,FBI/Freie W�hler,AUF,AUF,FREIE W�HLER,FREIE W�HLER,Partei der Vernunft,Partei der Vernunft
13.05.2012,Landtagswahl NRW,108,5911000,6308,888,713,175,0,490,0,6,6,484,484,126,117,243,214,46,59,23,33,15,15,31,29,,6,,6,,3,,1,,0,,0,,0,,0,,0,,1,,0
13.05.2012,Landtagswahl NRW,108,5911000,6401,599,483,116,0,262,1,4,4,258,258,66,53,126,111,26,34,7,16,5,4,28,33,,1,,0,,2,,0,,1,,2,,0,,0,,1,,0,,0
13.05.2012,Landtagswahl NRW,108,5911000,6402,739,628,111,0,367,1,5,6,362,361,67,54,214,186,19,30,11,27,17,19,34,31,,5,,4,,1,,1,,1,,0,,0,,0,,1,,1,,0
13.05.2012,Landtagswahl NRW,108,5911000,6403,915,784,131,0,406,2,7,9,399,397,79,63,238,220,23,39,8,22,15,14,36,30,,3,,2,,0,,3,,0,,1,,0,,0,,0,,0,,0
13.05.2012,Landtagswahl NRW,108,5911000,6404,553,441,112,0,243,0,6,3,237,240,40,32,141,115,17,33,9,18,7,8,23,28,,1,,0,,2,,2,,0,,0,,0,,0,,0,,1,,0
13.05.2012,Landtagswahl NRW,108,5911000,6405,883,726,157,0,428,0,4,5,424,423,89,76,252,231,41,53,6,18,12,11,24,25,,6,,2,,1,,0,,0,,0,,0,,0,,0,,0,,0
13.05.2012,Landtagswahl NRW,108,5911000,6406,863,739,124,0,397,0,5,4,392,393,70,56,215,181,35,57,13,24,9,9,50,47,,8,,1,,3,,3,,0,,2,,0,,1,,0,,1,,0
13.05.2012,Landtagswahl NRW,108,5911000,6407,1272,1128,144,0,719,0,8,9,711,710,111,100,450,381,65,108,16,30,9,10,60,55,,8,,3,,5,,2,,0,,3,,3,,0,,0,,1,,1
13.05.2012,Landtagswahl NRW,108,5911000,6408,1058,850,208,0,519,2,5,4,514,515,130,113,285,246,35,59,18,35,19,14,27,28,,9,,3,,5,,0,,0,,1,,0,,1,,1,,0,,0
13.05.2012,Landtagswahl NRW,108,5911000,6409,780,680,100,0,428,1,8,7,420,421,96,75,250,228,28,40,11,29,4,3,31,30,,4,,3,,1,,3,,1,,2,,2,,0,,0,,0,,0
