"poi_id";"name";"str_hausnr";"plz_ort";"kategorie";"hauptkateg";"beschreib";"link";"bedeut_id";"bedeutung";"erstkateg";"angelegt";"geaendert";"kateg_id";"kateg_pfad";"rechts_utm";"hoch_utm";"abrufdatum"
"22340";"Kath. Kindertageseinrichtung St. Bonifatius";"Bonifatiusstr. 21 a";"44892 Bochum";"Kath. Kindertagesstätten";"Soziales";"";"www.kita-zweckverband.de/kita-suche/bochum.html";"3";"Örtlich";"1";"2009-07-18";"2023-01-19";"23585";"Soziales/Kindertagesstätten/Kath. Kindertagesstätten";"383839";"5703601";"2023-10-17"
"22339";"Kindertageseinrichtung Kinderglück e.V.";"Alter Werner Hellweg 166";"44803 Bochum";"Kitas von Vereinen und Elterninitiativen";"Soziales";"";"www.kita-kinderglueck.de";"3";"Örtlich";"1";"2016-09-19";"2016-09-19";"301160";"Soziales/Kindertagesstätten/Kitas von Vereinen und Elterninitiativen";"380490";"5704300";"2023-10-17"
"22337";"Ev. Kindertageseinrichtung Melanchthon";"Königsallee 40";"44789 Bochum";"Ev. Kindertagesstätten";"Soziales";"";"www.kitaportal-bochum.de/profil/141";"3";"Örtlich";"1";"2009-07-18";"2018-10-30";"23584";"Soziales/Kindertagesstätten/Ev. Kindertagesstätten";"376187";"5703573";"2023-10-17"
"22336";"Städt. Kindertageseinrichtung Röhlinghauser Straße";"Röhlinghauser Str. 6";"44793 Bochum";"Kommunale Kindertagesstätten";"Soziales";"";"www.kitaportal-bochum.de/profil/5";"3";"Örtlich";"1";"2011-07-14";"2023-01-18";"23583";"Soziales/Kindertagesstätten/Kommunale Kindertagesstätten";"372284";"5707428";"2023-10-17"
"22333";"Ev. Kindertageseinrichtung Hand in Hand";"Dibergstr. 59";"44789 Bochum";"Ev. Kindertagesstätten";"Soziales";"";"www.familienzentrum-handinhand.de";"3";"Örtlich";"1";"2009-07-18";"2019-06-07";"23584";"Soziales/Kindertagesstätten/Ev. Kindertagesstätten";"375601";"5703693";"2023-10-17"
"22331";"Kath. Kindertageseinrichtung / Familienzentrum St. Martin";"Girondelle 92";"44799 Bochum";"Kath. Kindertagesstätten";"Soziales";"";"www.kita-zweckverband.de/kita-suche/bochum.html";"3";"Örtlich";"1";"2009-07-18";"2023-08-29";"23585";"Soziales/Kindertagesstätten/Kath. Kindertagesstätten";"378383";"5702061";"2023-10-17"
"22329";"Kath. Kindertageseinrichtung Christ-König";"Düppelstr. 49 a";"44789 Bochum";"Kath. Kindertagesstätten";"Soziales";"";"www.kita-zweckverband.de/kita-suche/bochum.html";"3";"Örtlich";"1";"2009-07-17";"2018-11-05";"23585";"Soziales/Kindertagesstätten/Kath. Kindertagesstätten";"377064";"5704128";"2023-10-17"
"22327";"AWO Kindertageseinrichtung / Familienzentrum Gropiusweg";"Gropiusweg 14";"44801 Bochum";"Kindertagesstätten freie Wohlfahrtsverbände";"Soziales";"";"www.awo-ruhr-mitte.de/kinder-jugend-familie/kindertagesstaetten/kita-gropiusweg-bochum";"3";"Örtlich";"1";"2009-07-18";"2023-09-19";"23595";"Soziales/Kindertagesstätten/Kindertagesstätten freie Wohlfahrtsverbände";"379066";"5701963";"2023-10-17"
"22322";"OUTLAW Kita Querenburger Höhe";"Querenburger Höhe 295 a";"44801 Bochum";"Kindertagesstätten freie Wohlfahrtsverbände";"Soziales";"";"www.outlaw-ggmbh.de/einrichtung/kita-querenburger-hoehe-bochum";"3";"Örtlich";"1";"2014-11-19";"2023-08-31";"23595";"Soziales/Kindertagesstätten/Kindertagesstätten freie Wohlfahrtsverbände";"379121";"5701144";"2023-10-17"
"22302";"Kindertageseinrichtung Gethsemane";"Dorstener Str. 155";"44809 Bochum";"Ev. Kindertagesstätten";"Soziales";"";"www.kirchenkreis-bochum.de/kinder/einrichungen/bo-mitte/kindertageseinrichtung-gethsemane.html";"3";"Örtlich";"1";"2009-07-18";"2023-04-13";"23584";"Soziales/Kindertagesstätten/Ev. Kindertagesstätten";"374914";"5705962";"2023-10-17"
"22281";"AWO Kindertageseinrichtung / Familienzentrum Schulstraße";"Schulstr. 20";"44866 Bochum";"Kindertagesstätten freie Wohlfahrtsverbände";"Soziales";"";"www.awo-ruhr-mitte.de/kinder-jugend-familie/kindertagesstaetten/awo-kita-schulstrasse";"3";"Örtlich";"1";"2009-07-18";"2023-09-19";"23595";"Soziales/Kindertagesstätten/Kindertagesstätten freie Wohlfahrtsverbände";"369758";"5704770";"2023-10-17"
"22268";"Ev. Kindertageseinrichtung Tausendfüßler";"Küppersstr. 2";"44791 Bochum";"Ev. Kindertagesstätten";"Soziales";"";"www.kitaportal-bochum.de/profil/135";"3";"Örtlich";"1";"2009-07-18";"2023-02-09";"23584";"Soziales/Kindertagesstätten/Ev. Kindertagesstätten";"377083";"5705515";"2023-10-17"
"22244";"Städt. Kindertageseinrichtung Am Sattelgut";"Am Sattelgut 3";"44879 Bochum";"Kommunale Kindertagesstätten";"Soziales";"";"www.kitaportal-bochum.de/profil/16";"3";"Örtlich";"1";"2009-07-19";"2023-01-18";"23583";"Soziales/Kindertagesstätten/Kommunale Kindertagesstätten";"371028";"5698984";"2023-10-17"
"22162";"OUTLAW Kindertageseinrichtung Königsallee";"Königsallee 173";"44799 Bochum";"Kindertagesstätten freie Wohlfahrtsverbände";"Soziales";"";"https://www.outlaw-ggmbh.de/einrichtung/kita-koenigsallee-bochum";"3";"Örtlich";"1";"2011-08-22";"2023-08-31";"23595";"Soziales/Kindertagesstätten/Kindertagesstätten freie Wohlfahrtsverbände";"376668";"5702283";"2023-10-17"
"22152";"Ev. Kindertageseinrichtung Rosendelle";"Rosendelle 43";"44869 Bochum";"Ev. Kindertagesstätten";"Soziales";"";"www.kigarosendelle.jimdo.com/";"3";"Örtlich";"1";"2009-07-18";"2023-04-13";"23584";"Soziales/Kindertagesstätten/Ev. Kindertagesstätten";"373629";"5702410";"2023-10-17"
"22147";"AWO Kindertageseinrichtung / Familienzentrum Zillertalstraße";"Zillertalstr. 5 - 7";"44807 Bochum";"Kindertagesstätten freie Wohlfahrtsverbände";"Soziales";"";"www.awo-ruhr-mitte.de/kinder-jugend-familie";"3";"Örtlich";"1";"2009-07-18";"2023-01-18";"23595";"Soziales/Kindertagesstätten/Kindertagesstätten freie Wohlfahrtsverbände";"376635";"5707838";"2023-10-17"
