Art;Bezeichnung;Adresse;Bezirk;Spielfeld;Belag;Maﬂe;"Beleuchtung
 vorhanden";LA-Anlagen;
;;;;;;;;;
Sportplatzanlage;"Am Hausacker
";Am Hausacker 43 a;1;Groﬂspielfeld;Hartplatz;64,2 x 104,6;ja;WS;WS = Weitsprung
;;;;Kraftsportfl‰che 1;;612 m≤;;
;;;;Kraftsportfl‰che 2;;458 m≤;;
;;;;Rollsportfl‰che;;80,00 x 30,00;;
Sportzentrum;Olympiast¸tzpunkt;Hollandstraﬂe 95;2;Leichtathletik-Halle;;keine Angabe;;
;;;;Halle f. rythm. Sportgymnastik;;keine Angabe;;
;;;;Ballettsaal;;keine Angabe;;
;;;;Kraftsportfl‰che;;keine Angabe;;

;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
