wahltermin_datum,wahl,Wahlkreis,AGS,Bez-Nr,Wahlberechtigte,ohne Sperrvermerk,"mit Sperrvermerk ""W""",A3,Waehler,DavonMitWahlschein,UngueltigeStimmen,GueltigeStimmen,SPD,CDU,FDP,GR�NE,REP,PDS,NPD,�DP,UAP,WASG,ASAM Parteilos
22.05.2005,Landtagswahl NRW,109,5911000,9122,0,0,0,0,827,827,14,813,369,270,42,91,1,16,5,0,1,16,2
22.05.2005,Landtagswahl NRW,109,5911000,9151,0,0,0,0,639,639,7,632,339,182,19,36,3,8,10,4,4,20,7
22.05.2005,Landtagswahl NRW,109,5911000,9152,0,0,0,0,639,639,9,630,320,196,28,36,4,14,11,3,1,17,0
22.05.2005,Landtagswahl NRW,109,5911000,9161,0,0,0,0,498,498,12,486,255,150,10,20,1,10,9,3,2,25,1
22.05.2005,Landtagswahl NRW,109,5911000,9162,0,0,0,0,598,598,13,585,337,153,19,35,4,8,7,4,1,14,3
22.05.2005,Landtagswahl NRW,109,5911000,9181,0,0,0,0,608,608,11,597,340,172,13,29,9,6,5,3,4,16,0
22.05.2005,Landtagswahl NRW,109,5911000,9182,0,0,0,0,564,564,6,558,287,185,18,30,1,8,8,0,1,17,3
22.05.2005,Landtagswahl NRW,109,5911000,9211,0,0,0,0,866,866,14,852,405,279,44,38,7,19,15,2,2,37,4
22.05.2005,Landtagswahl NRW,109,5911000,9221,0,0,0,0,688,688,7,681,311,269,35,25,0,2,4,0,6,28,1
22.05.2005,Landtagswahl NRW,109,5911000,9222,0,0,0,0,668,668,6,662,296,255,32,32,2,7,11,4,4,18,1
22.05.2005,Landtagswahl NRW,109,5911000,9231,0,0,0,0,768,768,16,752,337,274,46,35,3,7,11,2,7,30,0
22.05.2005,Landtagswahl NRW,109,5911000,9241,0,0,0,0,843,843,13,830,388,307,28,42,5,8,10,1,16,23,2
22.05.2005,Landtagswahl NRW,109,5911000,9251,0,0,0,0,749,749,5,744,366,266,33,30,2,8,7,2,5,24,1
22.05.2005,Landtagswahl NRW,109,5911000,9252,0,0,0,0,570,570,4,566,278,169,32,32,6,1,10,2,8,26,2
22.05.2005,Landtagswahl NRW,109,5911000,9271,0,0,0,0,654,654,11,643,282,249,33,26,5,6,8,1,0,30,3
22.05.2005,Landtagswahl NRW,109,5911000,9272,0,0,0,0,672,672,10,662,300,243,31,44,3,6,18,0,1,16,0
