wahltermin_datum,wahl,Wahlkreis,AGS,Bez-Nr,Wahlberechtigte,ohne Sperrvermerk,"mit Sperrvermerk ""W""",A3,Waehler,DavonMitWahlschein,UngueltigeStimmen,GueltigeStimmen,SPD,CDU,D3,FDP,GR�NE,REP,Tierschutzpartei,B�So,NPD,WASG,W�stefeld
22.05.2005,Landtagswahl NRW,107,5911000,4405,891,712,179,0,433,0,5,428,213,139,13,35,1,4,2,1,6,14,0
22.05.2005,Landtagswahl NRW,107,5911000,4406,813,733,80,0,325,1,4,321,170,107,10,13,1,5,2,2,2,7,2
22.05.2005,Landtagswahl NRW,107,5911000,4407,610,541,69,0,276,0,6,270,153,69,1,17,3,7,6,2,6,5,1
22.05.2005,Landtagswahl NRW,107,5911000,4408,790,675,115,0,394,0,8,386,225,88,10,20,5,6,7,3,4,13,5
22.05.2005,Landtagswahl NRW,107,5911000,4409,1095,958,137,0,535,0,8,527,279,141,27,38,5,9,5,2,7,13,1
22.05.2005,Landtagswahl NRW,107,5911000,4410,888,772,116,0,398,0,10,388,175,147,18,17,4,9,5,1,4,7,1
22.05.2005,Landtagswahl NRW,107,5911000,4501,984,836,148,0,558,4,5,553,246,189,19,51,5,13,9,1,6,12,2
22.05.2005,Landtagswahl NRW,107,5911000,4502,816,703,113,0,352,0,7,345,216,57,9,23,4,3,16,2,8,6,1
22.05.2005,Landtagswahl NRW,107,5911000,4503,752,686,66,0,350,0,14,336,186,66,8,19,6,12,4,3,18,12,2
22.05.2005,Landtagswahl NRW,107,5911000,4504,691,582,109,0,358,0,1,357,179,95,13,29,2,8,10,1,11,7,2
22.05.2005,Landtagswahl NRW,107,5911000,4505,908,828,80,0,443,0,2,441,216,97,26,45,10,6,9,5,10,16,1
22.05.2005,Landtagswahl NRW,107,5911000,4506,1437,1256,181,0,781,2,8,773,397,215,33,63,7,10,12,2,4,25,5
22.05.2005,Landtagswahl NRW,107,5911000,4507,1103,918,185,0,565,1,7,558,231,172,30,76,4,9,3,2,9,19,3
22.05.2005,Landtagswahl NRW,107,5911000,4508,886,750,136,0,451,0,9,442,233,123,23,35,4,10,3,0,3,8,0
22.05.2005,Landtagswahl NRW,107,5911000,4509,1199,970,229,0,609,0,10,599,280,180,25,64,4,9,7,4,9,16,1
22.05.2005,Landtagswahl NRW,107,5911000,4510,895,748,147,0,479,0,7,472,210,166,27,36,1,2,6,1,5,18,0
22.05.2005,Landtagswahl NRW,107,5911000,9101,0,0,0,0,959,959,13,946,365,404,47,65,2,14,4,3,7,30,5
22.05.2005,Landtagswahl NRW,107,5911000,9102,0,0,0,0,875,875,11,864,354,327,57,66,3,9,7,0,16,22,3
22.05.2005,Landtagswahl NRW,107,5911000,9111,0,0,0,0,1028,1028,5,1023,451,402,32,66,2,11,12,2,9,35,1
22.05.2005,Landtagswahl NRW,107,5911000,9112,0,0,0,0,791,791,8,783,368,278,35,54,7,5,8,1,6,19,2
22.05.2005,Landtagswahl NRW,107,5911000,9141,0,0,0,0,628,628,4,624,232,232,35,83,2,10,6,1,5,9,9
22.05.2005,Landtagswahl NRW,107,5911000,9142,0,0,0,0,554,554,1,553,242,169,28,78,2,10,5,4,0,14,1
22.05.2005,Landtagswahl NRW,107,5911000,9171,0,0,0,0,917,917,12,905,444,324,26,43,5,10,9,4,11,27,2
22.05.2005,Landtagswahl NRW,107,5911000,9311,0,0,0,0,692,692,8,684,368,204,28,39,5,4,10,3,2,18,3
22.05.2005,Landtagswahl NRW,107,5911000,9312,0,0,0,0,648,648,9,639,341,182,25,34,3,16,12,4,6,15,1
22.05.2005,Landtagswahl NRW,107,5911000,9321,0,0,0,0,886,886,8,878,438,282,45,43,5,12,21,2,10,18,2
22.05.2005,Landtagswahl NRW,107,5911000,9322,0,0,0,0,923,923,11,912,473,272,42,57,5,10,14,2,7,28,2
22.05.2005,Landtagswahl NRW,107,5911000,9331,0,0,0,0,617,617,3,614,288,209,31,26,4,8,9,4,4,26,5
22.05.2005,Landtagswahl NRW,107,5911000,9332,0,0,0,0,537,537,8,529,271,161,31,24,5,9,4,2,10,9,3
22.05.2005,Landtagswahl NRW,107,5911000,9411,0,0,0,0,977,977,10,967,464,324,38,48,5,13,13,2,12,36,12
22.05.2005,Landtagswahl NRW,107,5911000,9421,0,0,0,0,1110,1110,9,1101,552,343,53,74,9,10,20,3,9,27,1
22.05.2005,Landtagswahl NRW,107,5911000,9431,0,0,0,0,867,867,5,862,382,261,46,68,15,9,16,3,17,41,4
22.05.2005,Landtagswahl NRW,107,5911000,9441,0,0,0,0,590,590,4,586,304,170,20,40,6,8,8,1,7,19,3
22.05.2005,Landtagswahl NRW,107,5911000,9442,0,0,0,0,532,532,3,529,253,155,27,52,5,7,5,1,8,13,3
22.05.2005,Landtagswahl NRW,107,5911000,9451,0,0,0,0,716,716,11,705,332,197,38,61,5,11,17,0,7,35,2
22.05.2005,Landtagswahl NRW,107,5911000,9452,0,0,0,0,605,605,7,598,278,200,21,56,7,7,4,0,5,18,2
