wahltermin_datum,wahl,Wahlkreis,AGS,Bez-Nr,Wahlberechtigte insgesamt,ohne Vermerk W,mit Vermerk W,nicht im W�hlerverzeichnis,Waehler,DavonMitWahlschein,UngueltigeErststimmen,UngueltigeZweitstimmen,GueltigeErststimmen,GueltigeZweitstimmen,CDU ,CDU,SPD,SPD,FDP,FDP,GR�NE,GR�NE,DIE LINKE,DIE LINKE,Piraten,Piraten,NPD,NPD,REP,REP,B�ndnis 21 / RRP,B�ndnis 21 /RRP,Volksabstimmung,Volksabstimmung,�DP,�DP,MLPD,MLPD,B�So,B�So,PSG,PSG,AfD,AfD,BIG,BIG,pro Deutschland,pro Deutschland,Die Rechte,Die Rechte,FREIE W�HLER,FREIE W�HLER,Partei der Nichtw�hler,Partei der Nichtw�hler,Partei der Vernunft,Partei der Vernunft,Die PARTEI,Die PARTEI
22.09.2013,Bundestagswahl,140,5911000,1508,1110,794,316,0,549,1,11,5,538,544,185,160,256,215,6,12,31,47,31,47,15,11,12,10,,0,,0,,0,,1,2,2,,0,,0,,28,,1,,5,,0,,0,,2,,0,,3
22.09.2013,Bundestagswahl,140,5911000,1509,1032,855,177,0,508,0,9,8,499,500,122,101,250,225,8,14,24,38,54,56,21,15,17,15,,1,,0,,1,,2,3,0,,0,,1,,19,,6,,0,,1,,1,,1,,1,,2
22.09.2013,Bundestagswahl,140,5911000,1601,1042,848,194,0,595,1,9,8,586,587,173,142,310,263,6,15,23,37,29,46,25,22,19,16,,4,,0,,0,,0,1,0,,0,,1,,31,,4,,3,,0,,2,,0,,0,,1
22.09.2013,Bundestagswahl,140,5911000,1602,1554,1254,300,0,951,1,19,15,932,936,217,204,556,503,3,44,39,29,51,62,47,24,18,10,,6,,2,,1,,0,1,1,,0,,3,,34,,0,,4,,0,,1,,0,,2,,6
22.09.2013,Bundestagswahl,140,5911000,1603,1103,863,240,0,528,2,9,7,519,521,141,120,295,264,7,10,13,19,33,34,16,22,13,7,,1,,0,,2,,0,1,1,,0,,0,,28,,1,,5,,0,,4,,0,,1,,2
22.09.2013,Bundestagswahl,140,5911000,1604,1060,872,188,0,484,2,12,9,472,475,111,89,252,225,4,17,27,30,53,56,15,16,10,11,,2,,0,,2,,0,0,1,,0,,1,,14,,4,,1,,0,,1,,0,,0,,5
22.09.2013,Bundestagswahl,140,5911000,1605,1123,933,190,0,536,5,14,10,522,526,159,136,237,223,5,7,31,40,55,65,23,21,11,6,,1,,0,,2,,0,1,2,,1,,0,,13,,3,,1,,0,,1,,0,,1,,3
22.09.2013,Bundestagswahl,140,5911000,1606,1250,1063,187,0,588,0,11,4,577,584,134,116,289,240,6,9,46,60,59,72,33,36,8,8,,0,,0,,2,,2,2,0,,1,,1,,26,,5,,1,,1,,0,,0,,0,,4
22.09.2013,Bundestagswahl,140,5911000,1607,1093,903,190,0,542,1,8,10,534,532,112,104,302,268,5,13,22,35,45,46,20,16,25,17,,0,,0,,1,,1,3,0,,0,,0,,17,,7,,3,,0,,0,,0,,0,,4
22.09.2013,Bundestagswahl,140,5911000,1701,1118,897,221,0,581,2,8,5,573,576,178,159,269,227,3,17,35,50,63,67,19,14,4,1,,2,,0,,1,,2,2,2,,0,,2,,22,,2,,0,,0,,1,,0,,0,,7
