wahltermin_datum,wahl,Wahlkreis,AGS,Bez-Nr,Wahlberechtigte insgesamt,ohne Vermerk W,mit Vermerk W,nicht im W�hlerverzeichnis,Waehler,DavonMitWahlschein,UngueltigeErststimmen,UngueltigeZweitstimmen,GueltigeErststimmen,GueltigeZweitstimmen,CDU ,CDU,SPD,SPD,FDP,FDP,GR�NE,GR�NE,DIE LINKE,DIE LINKE,Piraten,Piraten,NPD,NPD,REP,REP,B�ndnis 21 / RRP,B�ndnis 21 /RRP,Volksabstimmung,Volksabstimmung,�DP,�DP,MLPD,MLPD,B�So,B�So,PSG,PSG,AfD,AfD,BIG,BIG,pro Deutschland,pro Deutschland,Die Rechte,Die Rechte,FREIE W�HLER,FREIE W�HLER,Partei der Nichtw�hler,Partei der Nichtw�hler,Partei der Vernunft,Partei der Vernunft,Die PARTEI,Die PARTEI
22.09.2013,Bundestagswahl,141,5911000,4306,1074,875,199,0,550,1,13,13,537,537,194,182,246,220,9,20,27,27,37,39,11,11,13,8,,0,,1,,0,,1,0,0,,0,,0,,21,,0,,3,,0,,1,,0,,0,,3
22.09.2013,Bundestagswahl,141,5911000,4401,1174,999,175,0,689,5,15,13,674,676,168,155,296,242,11,21,57,67,91,106,31,32,11,6,,0,,2,,1,,1,9,6,,1,,0,,29,,0,,1,,0,,1,,0,,0,,5
22.09.2013,Bundestagswahl,141,5911000,4402,1285,1053,232,0,728,1,9,9,719,719,161,163,329,262,7,10,95,116,75,86,32,26,18,6,,2,,0,,2,,3,2,4,,0,,0,,32,,0,,2,,0,,2,,0,,0,,3
22.09.2013,Bundestagswahl,141,5911000,4403,1207,1024,183,0,631,1,7,8,624,623,159,147,325,295,3,10,46,63,55,62,21,17,9,6,,0,,0,,2,,2,6,0,,0,,0,,14,,0,,2,,1,,1,,0,,0,,1
22.09.2013,Bundestagswahl,141,5911000,4404,1360,1088,272,0,675,0,15,13,660,662,181,189,338,279,8,15,53,71,43,47,20,19,17,10,,0,,0,,0,,1,0,0,,0,,0,,22,,0,,1,,1,,0,,4,,1,,2
22.09.2013,Bundestagswahl,141,5911000,4405,1168,967,201,0,566,6,12,7,554,559,142,130,294,261,4,9,31,36,45,48,14,17,21,10,,4,,0,,1,,3,3,0,,0,,0,,28,,0,,4,,0,,2,,1,,0,,5
22.09.2013,Bundestagswahl,141,5911000,4406,1361,1149,212,0,760,0,18,17,742,743,199,196,390,329,8,22,54,59,50,57,18,17,22,10,,5,,1,,1,,3,1,1,,0,,0,,36,,0,,3,,1,,1,,0,,1,,0
22.09.2013,Bundestagswahl,141,5911000,4501,1083,919,164,0,688,0,14,13,674,675,194,172,324,281,5,16,40,57,63,71,27,16,18,10,,0,,0,,1,,0,3,0,,1,,0,,43,,1,,1,,0,,2,,0,,0,,3
22.09.2013,Bundestagswahl,141,5911000,4502,1225,1054,171,0,662,1,19,15,643,647,132,119,368,313,1,9,34,46,56,67,30,19,21,20,,1,,0,,3,,1,1,2,,0,,0,,37,,2,,4,,0,,0,,0,,0,,4
22.09.2013,Bundestagswahl,141,5911000,4503,1211,940,271,0,678,3,16,9,662,669,179,160,305,256,14,22,60,72,70,82,15,14,17,7,,0,,0,,0,,2,2,4,,0,,1,,39,,0,,3,,0,,2,,0,,0,,5
