datetime,outdoor_temperature,outdoor_feels_like,outdoor_app_temp,outdoor_dew_point,outdoor_humidity,indoor_temperature,indoor_humidity,pressure_relative,pressure_absolute,indoor_dew_point,indoor_feels_like,indoor_app_tempin
2025-09-01 12:15:00+02:00,,,,,,19.5,97.0,999.9,999.9,,,
2025-09-01 12:20:00+02:00,,,,,,19.5,97.0,1000.2,1000.2,,,
2025-09-01 12:25:00+02:00,,,,,,19.6,97.0,1000.2,1000.2,,,
2025-09-01 12:30:00+02:00,,,,,,19.7,97.0,1000.5,1000.5,,,
2025-09-01 12:35:00+02:00,,,,,,19.7,97.0,1000.4,1000.4,,,
2025-09-01 12:40:00+02:00,,,,,,19.8,97.0,1000.6,1000.6,,,
2025-09-01 12:45:00+02:00,,,,,,19.8,97.0,1000.5,1000.5,,,
2025-09-01 12:50:00+02:00,,,,,,19.9,97.0,1000.5,1000.5,,,
2025-09-01 12:55:00+02:00,,,,,,20.0,97.0,1000.4,1000.4,,,
2025-09-01 13:00:00+02:00,,,,,,20.0,97.0,1000.4,1000.4,,,
2025-09-01 13:05:00+02:00,,,,,,20.1,96.0,1000.4,1000.4,,,
2025-09-01 13:10:00+02:00,,,,,,20.1,96.0,1000.5,1000.5,,,
2025-09-01 13:15:00+02:00,,,,,,20.1,96.0,1000.5,1000.5,,,
2025-09-01 13:20:00+02:00,,,,,,20.1,96.0,1000.5,1000.5,,,
2025-09-01 13:25:00+02:00,,,,,,20.2,96.0,1000.5,1000.5,,,
2025-09-01 13:30:00+02:00,,,,,,20.2,96.0,1000.3,1000.3,,,
2025-09-01 13:35:00+02:00,,,,,,20.4,97.0,1000.4,1000.4,,,
2025-09-01 13:40:00+02:00,,,,,,20.6,97.0,1000.5,1000.5,,,
2025-09-01 13:45:00+02:00,,,,,,20.8,97.0,1000.4,1000.4,,,
2025-09-01 13:50:00+02:00,,,,,,21.0,97.0,1000.4,1000.4,,,
2025-09-01 13:55:00+02:00,,,,,,21.2,96.0,1000.5,1000.5,,,
2025-09-01 14:00:00+02:00,,,,,,21.4,96.0,1000.5,1000.5,,,
2025-09-01 14:05:00+02:00,,,,,,21.7,96.0,1000.5,1000.5,,,
2025-09-01 14:10:00+02:00,,,,,,22.0,96.0,1000.6,1000.6,,,
2025-09-01 14:15:00+02:00,,,,,,22.1,96.0,1000.6,1000.6,,,
2025-09-01 14:20:00+02:00,,,,,,22.3,96.0,1000.7,1000.7,,,
2025-09-01 14:25:00+02:00,,,,,,22.4,96.0,1000.5,1000.5,,,
2025-09-01 14:30:00+02:00,,,,,,22.7,96.0,1000.7,1000.7,,,
2025-09-01 14:35:00+02:00,,,,,,22.8,96.0,1000.7,1000.7,,,
2025-09-01 14:40:00+02:00,,,,,,22.9,96.0,1000.5,1000.5,,,
2025-09-01 14:45:00+02:00,,,,,,23.1,96.0,1000.6,1000.6,,,
2025-09-01 14:50:00+02:00,,,,,,23.3,96.0,1000.6,1000.6,,,
2025-09-01 14:55:00+02:00,,,,,,23.5,96.0,1000.7,1000.7,,,
2025-09-01 15:00:00+02:00,,,,,,23.5,95.0,1000.6,1000.6,,,
2025-09-01 15:05:00+02:00,,,,,,23.7,95.0,1000.7,1000.7,,,
2025-09-01 15:10:00+02:00,,,,,,23.8,95.0,1000.7,1000.7,,,
2025-09-01 15:15:00+02:00,,,,,,23.9,95.0,1000.8,1000.8,,,
2025-09-01 15:20:00+02:00,,,,,,23.9,95.0,1000.7,1000.7,,,
2025-09-01 15:25:00+02:00,,,,,,23.9,95.0,1000.5,1000.5,,,
2025-09-01 15:30:00+02:00,,,,,,24.0,95.0,1000.5,1000.5,,,
2025-09-01 15:35:00+02:00,,,,,,24.0,95.0,1000.5,1000.5,,,
2025-09-01 15:40:00+02:00,,,,,,24.1,95.0,1000.5,1000.5,,,
2025-09-01 15:45:00+02:00,,,,,,24.2,95.0,1000.5,1000.5,,,
2025-09-01 15:50:00+02:00,,,,,,24.3,95.0,1000.4,1000.4,,,
2025-09-01 15:55:00+02:00,,,,,,24.3,95.0,1000.4,1000.4,,,
2025-09-01 16:00:00+02:00,,,,,,24.4,95.0,1000.3,1000.3,,,
2025-09-01 16:05:00+02:00,,,,,,24.5,95.0,1000.3,1000.3,,,
2025-09-01 16:10:00+02:00,,,,,,24.5,95.0,1000.3,1000.3,,,
2025-09-01 16:15:00+02:00,,,,,,24.5,95.0,1000.3,1000.3,,,
2025-09-01 16:20:00+02:00,,,,,,24.6,95.0,1000.3,1000.3,,,
2025-09-01 16:25:00+02:00,,,,,,24.6,95.0,1000.2,1000.2,,,
2025-09-01 16:30:00+02:00,,,,,,24.6,95.0,1000.2,1000.2,,,
