wahltermin_datum,wahl,Wahlkreis,AGS,Bez-Nr,Wahlberechtigte,Ohne Sperrvermerk,Mit Sperrvermerk,Nicht im W�hlerverzeichnis,Waehler,DavonMitWahlschein,UngueltigeErststimmen,UngueltigeZweitstimmen,GueltigeErststimmen,GueltigeZweitstimmen,CDU,CDU,SPD,SPD,Gr�ne,Gr�ne,Die Linke,Die Linke,FDP,FDP,AfD,AfD,D7,Piraten,D8,NPD,D9,Die PARTEI,D10,Freie W�hler,D11,Volksabstimmung,D12,�DP,MLPD,MLPD,D14,SGP,D15,Allianz Deutscher Demokraten,D16,BGE,D17,DiB,D18,DKP,D19,DM,D20,Die Humanisten,D21,Gesundheitsforschung,D22,Tierschutzpartei,D23,V-Partei�
24.09.2017,Bundestagswahl,141,5916000,3121,1166,930,236,0,637,1,18,7,619,630,127,138,298,241,29,22,40,38,37,55,86,91,,5,,3,,5,,1,,2,,1,2,0,,0,,16,,1,,0,,0,,0,,0,,0,,10,,1
24.09.2017,Bundestagswahl,141,5916000,3122,1491,1198,293,0,757,1,10,5,747,752,156,160,340,275,31,34,68,70,43,65,103,113,,4,,2,,2,,1,,4,,0,6,3,,0,,7,,0,,0,,0,,2,,0,,2,,7,,1
24.09.2017,Bundestagswahl,141,5916000,3123,1407,1135,272,0,752,0,11,6,741,746,206,192,308,270,50,42,38,45,40,68,98,93,,2,,4,,6,,2,,0,,0,1,1,,0,,4,,1,,0,,0,,0,,1,,1,,13,,1
24.09.2017,Bundestagswahl,141,5916000,3131,1115,942,173,0,566,0,18,9,548,557,97,89,233,208,25,28,50,44,29,32,112,113,,5,,3,,6,,1,,0,,0,2,2,,0,,14,,1,,3,,0,,0,,0,,1,,7,,0
24.09.2017,Bundestagswahl,141,5916000,3132,1056,881,175,0,569,0,12,7,557,562,117,128,252,207,24,25,45,45,28,31,86,93,,5,,1,,4,,1,,0,,0,5,5,,0,,9,,0,,0,,0,,0,,0,,1,,6,,1
24.09.2017,Bundestagswahl,141,5916000,3133,1190,996,194,0,602,0,10,6,592,596,124,143,249,193,24,24,55,48,51,56,89,97,,0,,1,,8,,0,,0,,0,0,1,,0,,9,,2,,2,,0,,1,,0,,2,,9,,0
24.09.2017,Bundestagswahl,141,5916000,3141,1369,1125,244,0,794,1,12,9,782,785,180,174,343,290,26,42,61,66,48,62,119,114,,3,,4,,6,,1,,1,,1,5,2,,0,,6,,0,,1,,0,,1,,1,,2,,8,,0
24.09.2017,Bundestagswahl,141,5916000,3142,1393,1094,299,0,768,2,5,4,763,764,182,182,312,259,41,30,65,71,63,83,97,107,,1,,4,,7,,3,,1,,1,3,3,,0,,0,,0,,0,,0,,1,,0,,1,,10,,0
24.09.2017,Bundestagswahl,141,5916000,3143,1257,1088,169,0,733,2,14,9,719,724,194,179,323,293,27,24,56,50,46,56,73,72,,11,,7,,7,,3,,1,,0,0,0,,0,,12,,1,,0,,0,,1,,0,,0,,7,,0
24.09.2017,Bundestagswahl,141,5916000,3144,1318,1094,224,0,661,1,23,9,638,652,140,125,229,182,53,40,73,76,48,71,92,99,,9,,2,,9,,4,,0,,0,3,3,,0,,17,,0,,2,,0,,1,,5,,0,,4,,3
24.09.2017,Bundestagswahl,141,5916000,3151,1404,1145,259,0,730,5,17,8,713,722,124,130,316,236,29,52,79,71,53,66,109,113,,10,,4,,7,,3,,1,,2,3,2,,0,,8,,0,,0,,0,,1,,1,,3,,12,,0
24.09.2017,Bundestagswahl,141,5916000,3152,1309,1119,190,0,612,2,16,9,596,603,106,116,286,219,24,29,66,63,25,39,85,89,,2,,2,,5,,0,,0,,0,4,2,,0,,29,,3,,0,,0,,0,,0,,0,,4,,1
24.09.2017,Bundestagswahl,141,5916000,3153,758,646,112,0,399,0,15,13,384,386,71,64,176,171,18,15,37,43,22,24,57,52,,1,,0,,3,,2,,0,,1,3,1,,0,,5,,0,,2,,0,,0,,0,,1,,1,,0
24.09.2017,Bundestagswahl,141,5916000,3154,747,642,105,0,377,0,10,3,367,374,65,68,165,122,23,30,28,40,26,37,53,49,,8,,1,,3,,2,,1,,0,7,2,,0,,6,,0,,1,,1,,0,,1,,0,,2,,0
