wahltermin_datum,wahl,Wahlkreis,AGS,Bez-Nr,Wahlberchtigte,ohne Sperrvermerk,mit Sperrvermerk,nicht im W�hlerverzeichnis,Waehler,DavonMitWahlschein,UngueltigeErststimmen,UngueltigeZweitstimmen,GueltigeErststimmen,GueltigeZweitstimmen,SPD,SPD,CDU,CDU,GR�NE,GR�NE,FDP,FDP,PIRATEN,PIRATEN,DIE LINKE,DIE LINKE,D7,NPD,D8,Die PARTEI,D9,FREIE W�HLER,D10,BIG,D11,FBI/FWG,D12,�DP,D13,Volksabstimmung,D14,TIERSCHUTZliste,D15,AD-Demokraten NRW,AfD,AfD,D17,Aufbruch C,D18,BGE,D19,DBD,D20,DKP,D21,ZENTRUM,D22,Die Rechte,D23,REP,D24,DIE VIOLETTEN,D25,JED,MLPD,MLPD,D27,PAN,D28,Gesundheitsforschung,D29,"PARTEILOSE WG ""BRD""",D30,Sch�ner Leben,D31,V-Partei�
14.05.2017,Landtagswahl NRW,109,5916000,2072,1203,1067,136,0,524,0,11,7,513,517,212,200,117,96,22,26,43,44,24,15,36,28,,2,,7,,2,,1,,0,,1,,2,,7,,4,58,68,,0,,1,,0,,0,,2,,0,,5,,1,,0,1,1,,1,,0,,1,,0,,2
14.05.2017,Landtagswahl NRW,109,5916000,2073,1105,987,118,0,426,0,9,5,417,421,174,161,95,87,21,20,26,28,20,9,42,28,,8,,5,,4,,10,,0,,1,,0,,3,,0,38,51,,3,,1,,0,,0,,0,,0,,0,,0,,0,1,0,,1,,0,,0,,0,,1
14.05.2017,Landtagswahl NRW,109,5916000,2081,1139,950,189,0,557,2,14,9,543,548,241,225,128,110,27,41,42,46,7,6,42,33,,7,,2,,2,,1,,0,,0,,2,,5,,6,53,57,,0,,0,,1,,0,,0,,0,,0,,0,,0,3,3,,0,,0,,0,,1,,0
14.05.2017,Landtagswahl NRW,109,5916000,2082,1141,976,165,0,488,0,8,10,480,478,198,181,112,111,24,18,45,45,16,12,35,32,,2,,3,,0,,1,,1,,0,,1,,5,,0,45,52,,0,,0,,0,,0,,0,,0,,2,,0,,1,5,10,,0,,1,,0,,0,,0
14.05.2017,Landtagswahl NRW,109,5916000,2083,1226,1049,177,0,656,0,13,13,643,643,249,214,200,178,19,38,50,53,16,11,45,40,,4,,4,,6,,0,,0,,0,,1,,5,,1,61,83,,0,,1,,0,,0,,0,,1,,2,,0,,1,3,0,,0,,0,,0,,0,,0
14.05.2017,Landtagswahl NRW,109,5916000,2091,1189,1058,131,0,604,0,7,8,597,596,246,235,132,109,25,30,44,45,20,8,55,42,,6,,1,,1,,2,,3,,2,,1,,5,,0,73,95,,0,,0,,0,,0,,1,,2,,1,,1,,0,2,0,,1,,2,,0,,2,,1
14.05.2017,Landtagswahl NRW,109,5916000,2092,1277,1099,178,0,676,2,15,10,661,666,290,283,195,163,21,19,53,61,18,9,33,31,,5,,5,,9,,0,,0,,2,,0,,6,,0,51,67,,0,,0,,0,,0,,0,,0,,0,,1,,2,0,0,,1,,0,,0,,0,,2
14.05.2017,Landtagswahl NRW,109,5916000,2093,1261,1089,172,0,677,0,10,6,667,671,249,231,171,151,31,32,58,70,18,11,52,48,,8,,0,,1,,2,,1,,0,,0,,6,,5,85,98,,0,,0,,0,,0,,0,,0,,2,,0,,0,3,1,,0,,2,,0,,0,,2
14.05.2017,Landtagswahl NRW,109,5916000,2094,1260,1079,181,0,652,1,12,8,640,644,276,254,159,141,23,32,49,57,14,11,33,27,,5,,3,,3,,8,,0,,0,,0,,5,,0,85,92,,0,,1,,1,,0,,2,,0,,1,,1,,0,1,0,,0,,0,,0,,0,,0
14.05.2017,Landtagswahl NRW,109,5911000,2101,877,749,128,0,414,0,9,7,405,407,160,154,123,102,18,22,23,25,10,2,23,18,,4,,3,,5,,1,,1,,1,,0,,7,,0,47,59,,0,,0,,1,,0,,0,,0,,0,,0,,0,1,1,,1,,0,,0,,0,,0
14.05.2017,Landtagswahl NRW,109,5916000,2101,1331,1125,206,0,585,0,11,12,574,573,247,234,135,127,14,15,52,43,16,9,31,30,,3,,2,,2,,2,,0,,0,,0,,5,,5,78,89,,0,,0,,0,,0,,0,,2,,0,,0,,1,1,1,,0,,0,,0,,0,,3
14.05.2017,Landtagswahl NRW,109,5911000,2102,988,852,136,0,450,5,4,4,446,446,182,164,115,95,25,19,30,50,13,6,29,22,,5,,4,,1,,4,,0,,2,,1,,6,,1,51,59,,2,,0,,0,,0,,1,,1,,0,,0,,0,1,1,,0,,1,,0,,1,,0
14.05.2017,Landtagswahl NRW,109,5916000,2102,1326,1120,206,0,692,1,6,11,686,681,251,243,226,202,34,33,64,76,18,8,35,26,,2,,7,,2,,2,,0,,0,,1,,5,,0,55,67,,0,,2,,0,,0,,0,,0,,2,,0,,0,3,1,,0,,0,,0,,0,,2
14.05.2017,Landtagswahl NRW,109,5911000,2103,1269,1097,172,0,630,3,16,15,614,615,256,232,132,126,28,32,52,54,10,3,48,37,,3,,3,,3,,1,,0,,0,,1,,4,,0,87,103,,1,,0,,4,,0,,0,,0,,2,,0,,1,1,2,,0,,0,,1,,0,,2
14.05.2017,Landtagswahl NRW,109,5916000,2103,1171,983,188,0,544,3,8,4,536,540,219,221,161,133,26,33,47,58,10,2,32,25,,4,,1,,2,,0,,0,,0,,0,,6,,1,40,51,,0,,0,,0,,0,,0,,1,,0,,1,,1,1,0,,0,,0,,0,,0,,0
14.05.2017,Landtagswahl NRW,109,5911000,2104,968,847,121,0,400,0,6,7,394,393,175,146,92,83,17,19,28,34,7,8,25,24,,2,,0,,1,,0,,0,,0,,0,,6,,1,49,63,,1,,0,,2,,0,,1,,1,,0,,0,,0,1,1,,0,,0,,0,,0,,0
14.05.2017,Landtagswahl NRW,109,5911000,2105,1401,1194,207,0,680,1,14,9,666,671,289,238,183,172,33,46,47,58,11,4,33,37,,11,,1,,5,,3,,0,,2,,4,,4,,0,67,78,,0,,0,,0,,0,,0,,1,,2,,3,,0,3,1,,0,,0,,0,,0,,1
14.05.2017,Landtagswahl NRW,109,5911000,2106,1451,1240,211,0,725,2,12,9,713,716,317,272,205,180,36,45,36,51,15,7,25,26,,3,,12,,2,,2,,0,,2,,0,,9,,1,79,95,,1,,1,,1,,0,,0,,0,,0,,0,,0,0,1,,0,,1,,0,,4,,0
14.05.2017,Landtagswahl NRW,109,5916000,2111,1269,1079,190,0,648,1,18,18,630,630,255,231,199,168,25,47,41,50,18,9,36,30,,4,,4,,1,,1,,0,,1,,0,,6,,0,55,68,,1,,0,,1,,0,,0,,2,,1,,1,,0,1,3,,0,,0,,0,,0,,1
